model,generation,q1_answer,q1_correct,q2_answer,q2_correct,q3_answer,q3_correct,q4_answer,q4_correct,q5_answer,q5_correct,q6_answer,q6_correct,q7_answer,q7_correct,fraction_correct,notes,raw_response
gpt_5.1,0,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,1,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,2,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,3,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,4,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,5,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,6,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,7,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,8,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,9,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,10,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,11,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,12,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,13,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,14,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,15,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,16,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,17,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,18,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.1,19,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,0,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,1,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,2,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,3,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,4,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
