model,default,variant,spike,argmax,argmax_prob,coverage,error
Llama_3.3_70B_Instruct,18,V0_true,0.9860599884669706,18,0.9860599884669706,1.0001367749096037,
Llama_3.3_70B_Instruct,18,V1,0.999845516693775,18,0.999845516693775,0.999999294777392,
Llama_3.3_70B_Instruct,18,V2,4.222851277057527e-06,10,0.9968159927366047,1.000005103363445,
Llama_3.3_70B_Instruct,18,V3,0.9946433047341442,18,0.9946433047341442,1.0000121068468757,
Llama_3.3_70B_Instruct,18,V4,0.05554148833106887,10,0.8671198122465524,0.9994679300305621,
Llama_3.3_70B_Instruct,26,V0_true,0.006530642163653784,25,0.9837756341541793,0.9994649296984438,
Llama_3.3_70B_Instruct,26,V1,0.00021659095137688503,25,0.938496117391837,1.000217364519287,
Llama_3.3_70B_Instruct,26,V2,,8,0.9626302108213645,1.0002699204567946,
Llama_3.3_70B_Instruct,26,V3,0.0005035890497369525,10,0.9230442307391284,0.999463938122865,
Llama_3.3_70B_Instruct,26,V4,,8,0.8478605860066345,0.9998120951490013,
Qwen3_235B_A22B_Instruct,18,V0_true,0.9971742800247901,18,0.9971742800247901,0.9976003230134411,
Qwen3_235B_A22B_Instruct,18,V1,0.9983807566002008,18,0.9983807566002008,0.9985440469529513,
Qwen3_235B_A22B_Instruct,18,V2,0.7230951087736361,18,0.7230951087736361,0.926278744023141,
Qwen3_235B_A22B_Instruct,18,V3,0.9991829650129193,18,0.9991829650129193,0.9995148363892936,
Qwen3_235B_A22B_Instruct,18,V4,0.9993023970301718,18,0.9993023970301718,0.9996938150109447,
Qwen3_235B_A22B_Instruct,26,V0_true,0.9978856220450402,26,0.9978856220450402,0.9988114485513958,
Qwen3_235B_A22B_Instruct,26,V1,0.9984271098897485,26,0.9984271098897485,0.9991231340378549,
Qwen3_235B_A22B_Instruct,26,V2,0.6245940811404521,26,0.6245940811404521,0.8903526262164748,
Qwen3_235B_A22B_Instruct,26,V3,0.9975952010354416,26,0.9975952010354416,0.9995355730849399,
Qwen3_235B_A22B_Instruct,26,V4,0.9986582213260905,26,0.9986582213260905,0.9993521532698004,
gpt_5.1,18,V0_true,0.8680498884850513,18,0.8680498884850513,0.9996873062977951,
gpt_5.1,18,V1,0.7526872248490089,18,0.7526872248490089,0.9988578770364893,
gpt_5.1,18,V2,0.22117685717755733,30,0.7719831088101199,0.9993330325276921,
gpt_5.1,18,V3,0.9988486576750673,18,0.9988486576750673,0.999980842861119,
gpt_5.1,18,V4,0.9836175252057109,18,0.9836175252057109,0.9997729952343435,
gpt_5.1,26,V0_true,0.9805459842969312,26,0.9805459842969312,0.999063573727641,
gpt_5.1,26,V1,0.9151382831766834,26,0.9151382831766834,0.9994996644570132,
gpt_5.1,26,V2,0.9731401474200984,26,0.9731401474200984,0.9997532524688751,
gpt_5.1,26,V3,0.9999583243796896,26,0.9999583243796896,0.9999984434892394,
gpt_5.1,26,V4,0.9787942090690627,26,0.9787942090690627,0.9998719089024899,
